pid	adid	relevance	like	dislike
60e3dea3ffbd0e2a90942794	6260681959992	5	It is useful, interesting, or informative.;I am interested in what is being advertised.;It is clear what product the ad is selling.;I trust the ad, it looks authentic or trustworthy.;It is well designed or eye-catching.;The content is engaging, clever or amusing.;I trust the advertiser.	I do not dislike this ad.
60e3dea3ffbd0e2a90942794	6259376826381	3	It is well designed or eye-catching.;I am interested in what is being advertised.;It is clear what product the ad is selling.	I do not dislike this ad.
60e3dea3ffbd0e2a90942794	23848560067930155	5	It is useful, interesting, or informative.;I trust the ad, it looks authentic or trustworthy.;It is clear what product the ad is selling.;I trust the advertiser.;The content is engaging, clever or amusing.;It is well designed or eye-catching.;I am interested in what is being advertised.	I do not dislike this ad.
60e3dea3ffbd0e2a90942794	23848939363060753	2	It is clear what product the ad is selling.;It is well designed or eye-catching.	I do not dislike this ad.
60e3dea3ffbd0e2a90942794	6270738292768	5	I am interested in what is being advertised.;It is useful, interesting, or informative.;It is clear what product the ad is selling.;I trust the ad, it looks authentic or trustworthy.;It is well designed or eye-catching.;The content is engaging, clever or amusing.	I do not dislike this ad.
60e3dea3ffbd0e2a90942794	23848614627180137	2	It is useful, interesting, or informative.;I am interested in what is being advertised.;The content is engaging, clever or amusing.;It is well designed or eye-catching.	I do not dislike this ad.
60e3dea3ffbd0e2a90942794	23848635197610135	1	I do not like this ad.	It contains clickbait, sensationalized, or shocking content.
60e3dea3ffbd0e2a90942794	6268508387361	4	It is useful, interesting, or informative.;It is clear what product the ad is selling.;It is well designed or eye-catching.	I do not dislike this ad.
60e3dea3ffbd0e2a90942794	23848657584150051	1	I do not like this ad.	It is irrelevant to me, or doesn’t contain interesting information.;I find the ad pushy or it causes me to feel anxious.
60e3dea3ffbd0e2a90942794	23849836329630746	4	I am interested in what is being advertised.;I trust the ad, it looks authentic or trustworthy.;It is well designed or eye-catching.	I cannot tell what is being advertised.
60e3dea3ffbd0e2a90942794	6256677149769	5	It is useful, interesting, or informative.;It is well designed or eye-catching.;It is clear what product the ad is selling.;I am interested in what is being advertised.;I trust the ad, it looks authentic or trustworthy.;The content is engaging, clever or amusing.;I trust the advertiser.	I do not dislike this ad.
60e3dea3ffbd0e2a90942794	23848657566410541	3	It is well designed or eye-catching.	I do not trust this ad, it seems like a scam.;I cannot tell what is being advertised.
60e3dea3ffbd0e2a90942794	23848657563470541	4	I do not like this ad.;I am interested in what is being advertised.	I find the ad pushy or it causes me to feel anxious.;It contains clickbait, sensationalized, or shocking content.;I cannot tell what is being advertised.
60e3dea3ffbd0e2a90942794	23848631408400157	1	I do not like this ad.	It contains clickbait, sensationalized, or shocking content.
60e3dea3ffbd0e2a90942794	23848882939060232	1	I do not like this ad.	It is irrelevant to me, or doesn’t contain interesting information.;I do not trust this ad, it seems like a scam.;I do not like the design of the ad.;I find the ad pushy or it causes me to feel anxious.;I cannot tell what is being advertised.
611d8aa6ab57a5ddf8025b8e	6265168263144	1	I do not like this ad.	I do not like the design of the ad.;It is irrelevant to me, or doesn’t contain interesting information.;I do not trust this ad, it seems like a scam.
611d8aa6ab57a5ddf8025b8e	6273900574401	2	I do not like this ad.	I cannot tell what is being advertised.;I do not like the design of the ad.;I do not trust this ad, it seems like a scam.
611d8aa6ab57a5ddf8025b8e	23849123422710789	5	It is useful, interesting, or informative.;It is clear what product the ad is selling.;I am interested in what is being advertised.	I do not dislike this ad.
611d8aa6ab57a5ddf8025b8e	23848155595480328	5	It is clear what product the ad is selling.;The content is engaging, clever or amusing.;It is well designed or eye-catching.;I trust the advertiser.;I am interested in what is being advertised.;I trust the ad, it looks authentic or trustworthy.	I do not dislike this ad.
611d8aa6ab57a5ddf8025b8e	6255918030467	2	It is clear what product the ad is selling.;The content is engaging, clever or amusing.;It is well designed or eye-catching.	I find the ad pushy or it causes me to feel anxious.;It is irrelevant to me, or doesn’t contain interesting information.
611d8aa6ab57a5ddf8025b8e	6255869835785	2	I do not like this ad.	I do not trust this ad, it seems like a scam.
611d8aa6ab57a5ddf8025b8e	23848390484080713	2	I do not like this ad.	I find the ad pushy or it causes me to feel anxious.;I do not like the design of the ad.;It is irrelevant to me, or doesn’t contain interesting information.
611d8aa6ab57a5ddf8025b8e	23848738415440363	2	I do not like this ad.	It is irrelevant to me, or doesn’t contain interesting information.;I do not like the design of the ad.;I cannot tell what is being advertised.;I do not trust this ad, it seems like a scam.
611d8aa6ab57a5ddf8025b8e	23847356524490423	1	I do not like this ad.	I do not like the design of the ad.;It is irrelevant to me, or doesn’t contain interesting information.;I dislike the type of product being advertised.;I find the ad pushy or it causes me to feel anxious.
611d8aa6ab57a5ddf8025b8e	6268859222168	4	It is useful, interesting, or informative.;I trust the advertiser.	I do not dislike this ad.
611d8aa6ab57a5ddf8025b8e	23849156754090096	1	I do not like this ad.	It is irrelevant to me, or doesn’t contain interesting information.;I do not like the design of the ad.;I cannot tell what is being advertised.
611d8aa6ab57a5ddf8025b8e	23849208710120053	4	It clearly looks like an ad and can be filtered out.	I do not dislike this ad.
611d8aa6ab57a5ddf8025b8e	6238590135163	2	It is clear what product the ad is selling.	I do not dislike this ad.
611d8aa6ab57a5ddf8025b8e	23848704480760701	3	It clearly looks like an ad and can be filtered out.	I do not dislike this ad.
611d8aa6ab57a5ddf8025b8e	23849240720090713	4	It is clear what product the ad is selling.;I am interested in what is being advertised.;I trust the ad, it looks authentic or trustworthy.	I do not dislike this ad.
611d8aa6ab57a5ddf8025b8e	23849224157680713	4	It is useful, interesting, or informative.;It is well designed or eye-catching.;I am interested in what is being advertised.	I do not dislike this ad.
611d8aa6ab57a5ddf8025b8e	6257196895795	4	It is useful, interesting, or informative.;I am interested in what is being advertised.;It is clear what product the ad is selling.	I do not dislike this ad.
611d8aa6ab57a5ddf8025b8e	6264929863014	4	I do not like this ad.	I do not dislike this ad.
611d8aa6ab57a5ddf8025b8e	23849145317910096	1	I do not like this ad.	I cannot tell what is being advertised.;I do not like the design of the ad.
611d8aa6ab57a5ddf8025b8e	6256640394387	2	I do not like this ad.	I do not trust this ad, it seems like a scam.;I dislike the type of product being advertised.
611d8aa6ab57a5ddf8025b8e	23848803506480462	5	It is useful, interesting, or informative.;The content is engaging, clever or amusing.;I trust the advertiser.;I am interested in what is being advertised.;I trust the ad, it looks authentic or trustworthy.	I do not dislike this ad.
611d8aa6ab57a5ddf8025b8e	23848459550880154	3	I do not like this ad.	I find the ad pushy or it causes me to feel anxious.;I cannot tell what is being advertised.;I do not like the design of the ad.
6130e3db169db34eb3cde8cc	23847311981190713	3	I am interested in what is being advertised.;The content is engaging, clever or amusing.;It is well designed or eye-catching.	I do not dislike this ad.
6130e3db169db34eb3cde8cc	23848910033820339	3	I do not like this ad.	I do not dislike this ad.
6130e3db169db34eb3cde8cc	23848957132090252	1	I do not like this ad.	It contains clickbait, sensationalized, or shocking content.;It is irrelevant to me, or doesn’t contain interesting information.;I cannot tell what is being advertised.
6130e3db169db34eb3cde8cc	23847761526320694	4	The content is engaging, clever or amusing.;I am interested in what is being advertised.;It is well designed or eye-catching.;It is useful, interesting, or informative.;I trust the ad, it looks authentic or trustworthy.	I do not dislike this ad.
6130e3db169db34eb3cde8cc	23849401057240532	5	I am interested in what is being advertised.	It contains clickbait, sensationalized, or shocking content.
6130e3db169db34eb3cde8cc	23847844779890121	5	I am interested in what is being advertised.;It is well designed or eye-catching.;It is useful, interesting, or informative.	I do not dislike this ad.
6130e3db169db34eb3cde8cc	6282335682620	5	I am interested in what is being advertised.	It contains clickbait, sensationalized, or shocking content.
6130e3db169db34eb3cde8cc	6250537216200	4	I am interested in what is being advertised.	I cannot tell what is being advertised.
6130e3db169db34eb3cde8cc	23849601491330089	4	I am interested in what is being advertised.	I find the ad pushy or it causes me to feel anxious.;It contains clickbait, sensationalized, or shocking content.;I do not trust this ad, it seems like a scam.
6130e3db169db34eb3cde8cc	23849465207210065	2	I do not like this ad.	I do not dislike this ad.
6130e3db169db34eb3cde8cc	23848885993990713	3	I do not like this ad.	I do not dislike this ad.
6130e3db169db34eb3cde8cc	23848680911740164	2	I do not like this ad.	It contains clickbait, sensationalized, or shocking content.
6130e3db169db34eb3cde8cc	23849239160330534	1	I do not like this ad.	It contains clickbait, sensationalized, or shocking content.;It is irrelevant to me, or doesn’t contain interesting information.
6130e3db169db34eb3cde8cc	23849028061270056	5	I am interested in what is being advertised.;It is well designed or eye-catching.;It is clear what product the ad is selling.	I do not dislike this ad.
6130e3db169db34eb3cde8cc	23849865598020133	1	I do not like this ad.	It contains clickbait, sensationalized, or shocking content.;It is irrelevant to me, or doesn’t contain interesting information.;I cannot tell what is being advertised.;I do not like the design of the ad.
6130e3db169db34eb3cde8cc	23848510902830592	2	It is clear what product the ad is selling.;It clearly looks like an ad and can be filtered out.	It is irrelevant to me, or doesn’t contain interesting information.
6130e3db169db34eb3cde8cc	23848516316660494	1	I do not like this ad.	It contains clickbait, sensationalized, or shocking content.;It is irrelevant to me, or doesn’t contain interesting information.
6130e3db169db34eb3cde8cc	23849003611150413	5	I am interested in what is being advertised.	It contains clickbait, sensationalized, or shocking content.;I do not dislike this ad.
6130e3db169db34eb3cde8cc	23849291472240012	3	The content is engaging, clever or amusing.	It contains clickbait, sensationalized, or shocking content.;I cannot tell what is being advertised.
6130e3db169db34eb3cde8cc	23849216705620004	4	I am interested in what is being advertised.	It contains clickbait, sensationalized, or shocking content.;I do not like the design of the ad.
6130e3db169db34eb3cde8cc	23848411710970512	1	I do not like this ad.	It contains clickbait, sensationalized, or shocking content.;I cannot tell what is being advertised.
6130e3db169db34eb3cde8cc	23846564164800557	4	I am interested in what is being advertised.	I do not dislike this ad.
6130e3db169db34eb3cde8cc	23848938185080519	2	It is useful, interesting, or informative.	It contains clickbait, sensationalized, or shocking content.
6130e3db169db34eb3cde8cc	23849358443720627	4	I do not like this ad.	I do not dislike this ad.;I cannot tell what is being advertised.
6130e3db169db34eb3cde8cc	6238197168699	4	I am interested in what is being advertised.	I do not trust this ad, it seems like a scam.;I cannot tell what is being advertised.
6130e3db169db34eb3cde8cc	23848858845620097	3	It is useful, interesting, or informative.	It contains clickbait, sensationalized, or shocking content.;I find the content uncomfortable, offensive, or repulsive.
6130e3db169db34eb3cde8cc	23848783775700275	2	The content is engaging, clever or amusing.	I do not dislike this ad.
6130e3db169db34eb3cde8cc	23848915793700774	1	I do not like this ad.	It contains clickbait, sensationalized, or shocking content.;It is irrelevant to me, or doesn’t contain interesting information.
6130e3db169db34eb3cde8cc	23848879267500336	3	I do not like this ad.	I do not dislike this ad.
6130e3db169db34eb3cde8cc	23849224532490625	4	I am interested in what is being advertised.;It is useful, interesting, or informative.	I do not like the design of the ad.
5f565c9592080106c6b4d467	23849588484700560	3	I do not like this ad.	I do not dislike this ad.
5f565c9592080106c6b4d467	6233665937800	2	I do not like this ad.	I do not trust this ad, it seems like a scam.
5f565c9592080106c6b4d467	23849139521550738	4	I trust the advertiser.;It is clear what product the ad is selling.;I am interested in what is being advertised.	I do not dislike this ad.
5f565c9592080106c6b4d467	23848304822700189	4	I trust the advertiser.;It is clear what product the ad is selling.	I do not dislike this ad.
5f565c9592080106c6b4d467	23848588333560112	3	I do not like this ad.	I do not dislike this ad.
5f565c9592080106c6b4d467	6240704128697	2	I do not like this ad.	I do not trust this ad, it seems like a scam.
5f565c9592080106c6b4d467	6257555455136	5	I am interested in what is being advertised.;I trust the advertiser.	I do not dislike this ad.
5f565c9592080106c6b4d467	23849019475990710	4	I trust the advertiser.	I do not dislike this ad.
5f565c9592080106c6b4d467	6270535338883	3	I do not like this ad.	It is irrelevant to me, or doesn’t contain interesting information.
5f565c9592080106c6b4d467	6296456389123	2	I do not like this ad.	I do not trust this ad, it seems like a scam.;It is irrelevant to me, or doesn’t contain interesting information.
5f565c9592080106c6b4d467	23849162418540309	3	I do not like this ad.	I do not dislike this ad.
5f565c9592080106c6b4d467	6243751362997	4	I trust the advertiser.;I am interested in what is being advertised.	I do not dislike this ad.
5f565c9592080106c6b4d467	6258994781991	3	I do not like this ad.	I do not dislike this ad.
5f565c9592080106c6b4d467	23848682665790581	3	I do not like this ad.	I do not dislike this ad.
5f565c9592080106c6b4d467	6246379187597	4	I trust the advertiser.;I am interested in what is being advertised.	I do not dislike this ad.
5f565c9592080106c6b4d467	23849139499790738	4	I trust the advertiser.;I am interested in what is being advertised.;It is clear what product the ad is selling.	I do not dislike this ad.
5f565c9592080106c6b4d467	23848923907500443	4	I trust the advertiser.;It is clear what product the ad is selling.	I do not dislike this ad.
5f565c9592080106c6b4d467	6256025846292	2	I do not like this ad.	I do not trust this ad, it seems like a scam.
5f565c9592080106c6b4d467	23848735250590235	3	I do not like this ad.	I do not dislike this ad.
5f565c9592080106c6b4d467	6264007531851	2	I do not like this ad.	I do not trust this ad, it seems like a scam.
5f565c9592080106c6b4d467	23849787748240259	4	I am interested in what is being advertised.	I do not dislike this ad.
5f565c9592080106c6b4d467	23849859998000337	3	I do not like this ad.	I do not dislike this ad.
5f565c9592080106c6b4d467	23849249428200545	3	I do not like this ad.	I do not dislike this ad.
5f565c9592080106c6b4d467	6267571999895	3	I do not like this ad.	I do not dislike this ad.
5f565c9592080106c6b4d467	23849002747110757	3	I do not like this ad.	I do not dislike this ad.
5f565c9592080106c6b4d467	6262663705770	4	I am interested in what is being advertised.	I do not dislike this ad.
5f565c9592080106c6b4d467	6258908953004	3	I do not like this ad.	I do not dislike this ad.
5f565c9592080106c6b4d467	6275376720140	2	I do not like this ad.	It is irrelevant to me, or doesn’t contain interesting information.
5f565c9592080106c6b4d467	23849859998130337	2	I do not like this ad.	It is irrelevant to me, or doesn’t contain interesting information.
5f565c9592080106c6b4d467	6253710638908	3	I do not like this ad.	I do not dislike this ad.
605504fc7a5a699c16ae8b4d	23849077467540480	4	I am interested in what is being advertised.;It is clear what product the ad is selling.	I do not dislike this ad.
605504fc7a5a699c16ae8b4d	23849377450620708	1	I do not like this ad.	I cannot tell what is being advertised.;It is irrelevant to me, or doesn’t contain interesting information.
605504fc7a5a699c16ae8b4d	6269337376550	4	I am interested in what is being advertised.;It is clear what product the ad is selling.;I trust the advertiser.;It is well designed or eye-catching.;I trust the ad, it looks authentic or trustworthy.	I do not dislike this ad.
605504fc7a5a699c16ae8b4d	23848916941410014	1	I do not like this ad.	I cannot tell what is being advertised.;It contains clickbait, sensationalized, or shocking content.
605504fc7a5a699c16ae8b4d	23848633797060388	3	It is well designed or eye-catching.	It is irrelevant to me, or doesn’t contain interesting information.
605504fc7a5a699c16ae8b4d	23848642335360617	1	I do not like this ad.	It is irrelevant to me, or doesn’t contain interesting information.
605504fc7a5a699c16ae8b4d	6255419954187	1	I do not like this ad.	I find the ad pushy or it causes me to feel anxious.;It is irrelevant to me, or doesn’t contain interesting information.
605504fc7a5a699c16ae8b4d	23848821237720223	2	I do not like this ad.	It is irrelevant to me, or doesn’t contain interesting information.;I cannot tell what is being advertised.;I do not trust this ad, it seems like a scam.
605504fc7a5a699c16ae8b4d	23849110913960713	2	I do not like this ad.	I find the ad pushy or it causes me to feel anxious.
605504fc7a5a699c16ae8b4d	23848897356410198	1	I do not like this ad.	It is irrelevant to me, or doesn’t contain interesting information.
605504fc7a5a699c16ae8b4d	23848989401210590	1	I do not like this ad.	It is irrelevant to me, or doesn’t contain interesting information.
605504fc7a5a699c16ae8b4d	23848582710930466	3	I do not like this ad.	It is irrelevant to me, or doesn’t contain interesting information.
605504fc7a5a699c16ae8b4d	23848506764300422	5	The content is engaging, clever or amusing.;I am interested in what is being advertised.;I trust the ad, it looks authentic or trustworthy.;I trust the advertiser.;It is clear what product the ad is selling.;It is well designed or eye-catching.;It is useful, interesting, or informative.	I do not dislike this ad.
605504fc7a5a699c16ae8b4d	23848413383180422	5	I trust the ad, it looks authentic or trustworthy.;The content is engaging, clever or amusing.;I am interested in what is being advertised.;It is clear what product the ad is selling.;I trust the advertiser.;It is well designed or eye-catching.;It is useful, interesting, or informative.	I do not dislike this ad.
605504fc7a5a699c16ae8b4d	23849159920820125	4	I do not like this ad.	I find the content uncomfortable, offensive, or repulsive.
605504fc7a5a699c16ae8b4d	23848258976710553	1	I do not like this ad.	It is irrelevant to me, or doesn’t contain interesting information.
605504fc7a5a699c16ae8b4d	23849468375480708	1	I do not like this ad.	I do not like the design of the ad.;I do not trust this ad, it seems like a scam.;I find the ad pushy or it causes me to feel anxious.
605504fc7a5a699c16ae8b4d	23848711754990357	3	I do not like this ad.	I find the ad pushy or it causes me to feel anxious.;I cannot tell what is being advertised.;I do not like the design of the ad.
605504fc7a5a699c16ae8b4d	23849128056990738	1	I do not like this ad.	It is irrelevant to me, or doesn’t contain interesting information.
605504fc7a5a699c16ae8b4d	23848331508410113	1	I do not like this ad.	I do not like the design of the ad.
605504fc7a5a699c16ae8b4d	23849289471130080	1	I do not like this ad.	It is irrelevant to me, or doesn’t contain interesting information.;It contains clickbait, sensationalized, or shocking content.;I cannot tell what is being advertised.
605504fc7a5a699c16ae8b4d	23849082927570590	1	I do not like this ad.	It is irrelevant to me, or doesn’t contain interesting information.
605504fc7a5a699c16ae8b4d	23848141345990280	4	I trust the advertiser.	I find the ad pushy or it causes me to feel anxious.
605504fc7a5a699c16ae8b4d	23848947461380097	2	I do not like this ad.	I do not trust this ad, it seems like a scam.;I find the ad pushy or it causes me to feel anxious.;I dislike the advertiser.;It is irrelevant to me, or doesn’t contain interesting information.
605504fc7a5a699c16ae8b4d	23848820119950480	4	It is useful, interesting, or informative.;I trust the advertiser.	I do not dislike this ad.
605504fc7a5a699c16ae8b4d	23848967184500198	3	It is clear what product the ad is selling.;I trust the advertiser.	It is irrelevant to me, or doesn’t contain interesting information.
605504fc7a5a699c16ae8b4d	23848413385420422	5	I trust the ad, it looks authentic or trustworthy.;I am interested in what is being advertised.;It is clear what product the ad is selling.;I trust the advertiser.	I do not dislike this ad.
605504fc7a5a699c16ae8b4d	6262711954979	1	I do not like this ad.	It is irrelevant to me, or doesn’t contain interesting information.
605504fc7a5a699c16ae8b4d	23848643024850285	1	I do not like this ad.	It is irrelevant to me, or doesn’t contain interesting information.
605504fc7a5a699c16ae8b4d	6255014076945	3	I do not like this ad.	I do not like the design of the ad.;I do not trust this ad, it seems like a scam.;I find the ad pushy or it causes me to feel anxious.
58a2788898124900015923bf	6254853678654	5	I am interested in what is being advertised.	I do not dislike this ad.
58a2788898124900015923bf	23849699091510298	3	I do not like this ad.	It is irrelevant to me, or doesn’t contain interesting information.
58a2788898124900015923bf	23849456156870233	1	I do not like this ad.	I do not dislike this ad.
58a2788898124900015923bf	6296012981280	4	I am interested in what is being advertised.	I do not dislike this ad.
58a2788898124900015923bf	6264241817141	2	I do not like this ad.	I do not trust this ad, it seems like a scam.
58a2788898124900015923bf	23848661243540026	2	I do not like this ad.	It is irrelevant to me, or doesn’t contain interesting information.
58a2788898124900015923bf	23848653149260350	4	I am interested in what is being advertised.	I do not dislike this ad.
58a2788898124900015923bf	23848540947390479	5	It is useful, interesting, or informative.;It is clear what product the ad is selling.	I do not dislike this ad.
58a2788898124900015923bf	6268749729286	5	It is well designed or eye-catching.;I trust the advertiser.;It is useful, interesting, or informative.	I do not dislike this ad.
58a2788898124900015923bf	6285505144888	5	I am interested in what is being advertised.	I do not dislike this ad.
58a2788898124900015923bf	6257449270367	5	I am interested in what is being advertised.	I do not dislike this ad.
58a2788898124900015923bf	6260329493591	5	I am interested in what is being advertised.	I do not dislike this ad.
58a2788898124900015923bf	23849194263060471	5	I am interested in what is being advertised.	I do not dislike this ad.
58a2788898124900015923bf	6257714436101	5	It is well designed or eye-catching.;It is clear what product the ad is selling.;It is useful, interesting, or informative.;I trust the advertiser.	I do not dislike this ad.
58a2788898124900015923bf	23849212407230286	4	I do not like this ad.	I do not trust this ad, it seems like a scam.
58a2788898124900015923bf	23849050203270687	5	It is useful, interesting, or informative.;I am interested in what is being advertised.	I do not dislike this ad.
58a2788898124900015923bf	6285472929888	5	I am interested in what is being advertised.	I do not dislike this ad.
58a2788898124900015923bf	23848656783330313	5	It is clear what product the ad is selling.;It is useful, interesting, or informative.;I am interested in what is being advertised.	I do not dislike this ad.
58a2788898124900015923bf	6289287249464	4	I am interested in what is being advertised.	I do not dislike this ad.
58a2788898124900015923bf	23849898680710202	5	I am interested in what is being advertised.	I do not dislike this ad.
58a2788898124900015923bf	23848665284990518	1	I do not like this ad.	I do not dislike this ad.
58a2788898124900015923bf	23849236009650714	1	I do not like this ad.	It is irrelevant to me, or doesn’t contain interesting information.
58a2788898124900015923bf	6280774132306	4	I am interested in what is being advertised.	I do not dislike this ad.
58a2788898124900015923bf	23847490799580691	5	It is useful, interesting, or informative.;It is clear what product the ad is selling.	I do not dislike this ad.
58a2788898124900015923bf	6261470189101	5	I am interested in what is being advertised.;It is useful, interesting, or informative.	I do not dislike this ad.
58a2788898124900015923bf	23849172731570757	3	I do not like this ad.	I do not dislike this ad.
58a2788898124900015923bf	23849651716950540	1	I do not like this ad.	I dislike the type of product being advertised.;I find the ad pushy or it causes me to feel anxious.
58a2788898124900015923bf	23849455397100362	1	I do not like this ad.	I do not trust this ad, it seems like a scam.
58a2788898124900015923bf	23848782573720170	5	I am interested in what is being advertised.	I do not dislike this ad.
58a2788898124900015923bf	23849898680520202	5	I am interested in what is being advertised.;It is useful, interesting, or informative.	I do not dislike this ad.
5c315f577626080001a88cb2	23849008053170641	1	I do not like this ad.	I find the content uncomfortable, offensive, or repulsive.;I find the ad pushy or it causes me to feel anxious.;It contains clickbait, sensationalized, or shocking content.
5c315f577626080001a88cb2	23848775634080217	4	I do not like this ad.	I do not dislike this ad.
5c315f577626080001a88cb2	23848719782900004	4	It is clear what product the ad is selling.;The content is engaging, clever or amusing.	I do not dislike this ad.
5c315f577626080001a88cb2	6245815690675	2	I do not like this ad.	I cannot tell what is being advertised.
5c315f577626080001a88cb2	23849116383540523	1	I do not like this ad.	It is irrelevant to me, or doesn’t contain interesting information.;I dislike the type of product being advertised.
5c315f577626080001a88cb2	23849242004960104	4	I do not like this ad.	I do not dislike this ad.;I find the ad pushy or it causes me to feel anxious.
5c315f577626080001a88cb2	6266553699356	4	It is clear what product the ad is selling.;It is useful, interesting, or informative.	I do not dislike this ad.
5c315f577626080001a88cb2	23849067590910486	1	I do not like this ad.	It is irrelevant to me, or doesn’t contain interesting information.
5c315f577626080001a88cb2	23849942958250133	5	I am interested in what is being advertised.	I do not dislike this ad.
5c315f577626080001a88cb2	23849352161670311	4	It is well designed or eye-catching.	I find the ad pushy or it causes me to feel anxious.
5f969b802a498b000aab2571	23848582715490466	4	I trust the advertiser.	I do not dislike this ad.
5f969b802a498b000aab2571	6262288842759	4	It is useful, interesting, or informative.;I trust the ad, it looks authentic or trustworthy.	I do not dislike this ad.
5f969b802a498b000aab2571	23847917159720231	4	It is useful, interesting, or informative.;I trust the ad, it looks authentic or trustworthy.;I am interested in what is being advertised.;I trust the advertiser.;It is well designed or eye-catching.	I do not dislike this ad.
5f969b802a498b000aab2571	23849238773220061	4	I do not like this ad.	I cannot tell what is being advertised.;I dislike the advertiser.;I do not trust this ad, it seems like a scam.
5f969b802a498b000aab2571	6253461486626	4	I do not like this ad.	I cannot tell what is being advertised.
5f969b802a498b000aab2571	23847917159460231	4	It is useful, interesting, or informative.;I trust the ad, it looks authentic or trustworthy.;I am interested in what is being advertised.;I trust the advertiser.	I do not dislike this ad.
5f969b802a498b000aab2571	23849162047960597	4	I trust the ad, it looks authentic or trustworthy.;I trust the advertiser.;It is clear what product the ad is selling.;It is well designed or eye-catching.	I do not dislike this ad.
5f969b802a498b000aab2571	23849130087880061	4	I do not like this ad.	I dislike the advertiser.;I do not trust this ad, it seems like a scam.;I cannot tell what is being advertised.
5f969b802a498b000aab2571	23848749349240329	2	I do not like this ad.	I do not dislike this ad.
5f969b802a498b000aab2571	23849138722760720	1	I do not like this ad.	I dislike the type of product being advertised.;It is irrelevant to me, or doesn’t contain interesting information.;It contains clickbait, sensationalized, or shocking content.;I do not trust this ad, it seems like a scam.;I do not like the design of the ad.;I cannot tell what is being advertised.
5f969b802a498b000aab2571	23848744133700231	4	I trust the ad, it looks authentic or trustworthy.	I do not dislike this ad.
5f969b802a498b000aab2571	23848734993310178	1	I do not like this ad.	I cannot tell what is being advertised.
5f969b802a498b000aab2571	23848643800570391	2	I do not like this ad.	I cannot tell what is being advertised.
